id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,6.43,6335082829,25,11653289065.0,59410267.0,6.63,6.35,-0.1904896709099706,-2.87929,-187802872.86645222,-2.87914,986001388.43,1813734643.82,,8.99,-28.69923,2025-02-23T01:52:21.073Z,0.01726188,37014.35263,2023-10-12T17:25:09.068Z,,2025-03-28T09:26:11.701Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,312.68,6207103624,26,6207131965.0,191007496.0,335.2,312.0,-22.445425794510243,-6.69755,-439871016.20801353,-6.61761,19848046.77165078,19848137.39665078,21000000.0,3785.82,-91.76263,2017-12-20T00:00:00.000Z,76.93,305.3458,2018-12-16T00:00:00.000Z,,2025-03-28T09:26:22.068Z
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.79,5747724753,27,5747724753.0,146905716.0,5.07,4.76,-0.24095279427494987,-4.78776,-276291629.55984306,-4.5865,1199999994.2,1199999994.2,2000000000.0,8.45,-43.26536,2024-12-27T11:41:24.992Z,0.0142795,33474.42662,2020-06-25T04:17:05.895Z,,2025-03-28T09:26:18.566Z
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.828917,5610378079,28,8631350891.0,280837575.0,0.86762,0.814449,-0.0200463259563175,-2.36127,-134208344.62135887,-2.33626,6763876079.296083,10405963198.91705,100000000000.0,2.99,-72.16561,2025-02-26T16:41:03.732Z,0.615725,35.05768,2025-02-20T18:06:42.957Z,,2025-03-28T09:26:13.245Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,1909.02,5513495587,29,5513495587.0,145139997.0,2034.83,1905.69,-116.07405063989358,-5.73179,-271325361.25259495,-4.6903,2888360.529273133,2888360.529273133,,4799.89,-60.26198,2021-11-09T00:00:00.000Z,82.1,2223.14664,2018-12-15T00:00:00.000Z,,2025-03-28T09:26:22.924Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999013,5258729348,30,5258729348.0,132835663.0,0.999348,0.995589,-0.000153467984339906,-0.01536,-103570293.7588377,-1.93145,5264443507.088325,5264443507.088325,,1.032,-3.20903,2023-12-20T15:38:34.596Z,0.929486,7.47469,2024-10-04T07:57:15.809Z,,2025-03-28T09:26:22.203Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,0.999433,5183757301,31,5183757301.0,307519379.0,1.005,0.996239,-0.002290635812873032,-0.22867,-4217501.1722307205,-0.08129,5184994501.618546,5184994501.618546,,1.05,-4.8006,2024-08-05T14:21:42.527Z,0.942186,6.08911,2024-12-05T22:30:39.827Z,,2025-03-28T09:26:22.189Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,13.54,4518202503,32,13530331843.0,97492040.0,15.08,13.52,-0.9689322008376138,-6.67776,-322743554.19002724,-6.66695,333928180.0,999990391.0,1000000000.0,34.96,-61.13851,2024-12-22T03:56:00.276Z,3.81,256.69829,2024-11-29T09:30:30.871Z,,2025-03-28T09:26:23.086Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2029.18,4273681872,33,4273681872.0,21555896.0,2163.4,2025.75,-122.20189138378373,-5.68016,-254578944.9470253,-5.622,2109328.219855276,2109328.219855276,,4311.81,-52.93498,2024-12-06T20:32:25.758Z,1889.13,7.42266,2025-03-11T00:55:51.837Z,,2025-03-28T09:26:21.108Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,28.87,4161124959,34,9481323042.0,21739356.0,29.22,28.78,-0.29894010717198327,-1.0247,-43543439.987785816,-1.0356,144118517.10815412,328380962.0,400000000.0,31.28,-7.68015,2025-03-02T22:22:36.852Z,3.06,843.05456,2023-02-13T19:01:21.899Z,,2025-03-28T09:26:20.725Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,219.19,4050479330,35,4050479330.0,60453098.0,226.37,219.19,-4.956875952969398,-2.21144,-82975866.56258678,-2.00742,18446744.07370955,18446744.07370955,,542.33,-59.47565,2018-01-09T00:00:00.000Z,0.216177,101564.02782,2015-01-14T00:00:00.000Z,,2025-03-28T09:26:24.467Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,6.38,3830485017,36,6379005812.0,148422618.0,6.83,6.37,-0.43214715193952546,-6.34462,-265063004.7715168,-6.47198,600483073.71,1000000000.0,1000000000.0,44.92,-85.80233,2021-05-03T05:25:04.822Z,1.03,519.05447,2020-09-17T01:20:38.214Z,,2025-03-28T09:26:21.753Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,5.58,3369680804,37,6394646716.0,123302922.0,6.02,5.57,-0.39476392639491475,-6.61024,-244710847.50957775,-6.77046,603783539.2327191,1145800641.344233,,19.92,-72.00981,2023-01-26T14:25:17.390Z,3.08,81.04309,2022-12-29T21:35:14.796Z,,2025-03-28T09:26:18.442Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999602,3343099657,38,3343099657.0,176004883.0,1.0,0.999113,0.00048862,0.04891,43726435.0,1.3253,3344514534.371316,3344514534.371316,,1.22,-18.00964,2020-03-13T03:02:50.373Z,0.88196,13.31644,2023-03-11T07:50:50.514Z,,2025-03-28T09:26:23.545Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.79,3342796662,39,3466719272.0,203546104.0,3.04,2.79,-0.21038402722289495,-7.00831,-248636433.0131073,-6.92304,1197821504.0,1242226588.0,,20.44,-86.35185,2022-01-16T22:09:45.873Z,0.526762,429.54127,2020-11-04T16:09:15.137Z,,2025-03-28T09:26:23.036Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,7.88e-06,3313948078,40,3313948078.0,661165327.0,8.61e-06,7.85e-06,-7.04113958216e-07,-8.19985,-297065823.33883905,-8.22666,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-71.89056,2024-12-09T16:30:35.828Z,5.5142e-08,14187.67757,2023-04-18T02:14:41.591Z,,2025-03-28T09:26:18.069Z
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.044,3034532732,41,3034532732.0,3185522.0,1.046,1.044,-0.000373801524853778,-0.03578,-170329695.67653418,-5.31473,2905831443.911199,2905831443.911199,,1.088,-4.01608,2025-02-03T02:31:35.208Z,0.961716,8.57912,2025-01-04T01:21:08.460Z,,2025-03-28T09:26:17.606Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.107644,2957180669,43,10508097099.0,116652306.0,0.114042,0.097475,0.00530792,5.18678,151754635.0,5.40933,27414241539.00879,97414241539.00879,,0.965407,-88.89419,2021-11-24T15:53:54.855Z,0.0121196,784.65218,2019-02-08T00:00:00.000Z,,2025-03-28T09:26:20.426Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,49.05,2942972675,42,11573617005.0,7432454.0,50.28,48.68,-1.026582348334486,-2.05012,-60183676.170648575,-2.00401,60000000.0,235957685.3,300000000.0,73.8,-33.55838,2024-03-14T00:30:12.502Z,0.580608,8345.65317,2019-01-14T00:00:00.000Z,,2025-03-28T09:26:13.230Z
tokenize-xchange,tkx,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,36.74,2940790766,44,3676172310.0,22216632.0,36.84,35.69,0.630876,1.74706,52924271.0,1.83264,79995999.05112354,100000000.0,100000000.0,50.43,-27.17712,2025-01-03T19:12:43.038Z,0.111255,32910.3404,2019-04-28T00:00:00.000Z,"{'times': 125.47715953504758, 'currency': 'usd', 'percentage': 12547.715953504758}",2025-03-28T09:26:19.359Z
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,23.04,2832432152,45,6913396650.0,16643103.0,23.87,23.02,-0.6266192923152651,-2.64754,-75442739.6169815,-2.59443,122910587.76765741,300000000.0,,25.94,-11.40542,2025-01-25T03:07:37.823Z,0.25754,8823.2361,2020-03-13T02:18:02.481Z,,2025-03-28T09:26:23.437Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,0.834157,2808064352,46,5190439249.0,162937904.0,0.847599,0.832877,-0.013037278643465489,-1.53888,-42369537.20247316,-1.48642,3364694382.83684,6219316794.99,6219316794.99,1.54,-45.76,2024-04-08T09:45:25.482Z,0.307978,170.99315,2023-10-18T02:50:46.942Z,,2025-03-28T09:26:24.205Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,5.69,2744398796,47,3022644680.0,65433215.0,6.13,5.68,-0.38551940637254933,-6.34318,-185933185.10738754,-6.34512,482074180.5411498,530950151.8282093,,700.65,-99.18772,2021-05-10T16:05:53.653Z,2.87,98.64546,2023-09-22T00:29:57.369Z,,2025-03-28T09:26:24.281Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,85145.0,2740198026,48,2751489923.0,234680613.0,87673.0,85022.0,-2280.4350046137843,-2.60845,-44849577.85606861,-1.61037,32151.38622208,32283.87670181,,108953.0,-21.83269,2025-01-20T09:20:53.854Z,57439.0,48.27182,2024-09-12T14:07:41.775Z,,2025-03-28T09:26:21.549Z
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.86109,2719083798,49,8607126453.0,162580971.0,0.924928,0.857641,-0.059103673902177856,-6.42296,-188118156.62357426,-6.47076,3159107529.0,10000000000.0,10000000000.0,2.14,-59.78077,2024-12-16T00:36:00.777Z,0.082171,947.51627,2024-01-18T12:14:30.524Z,,2025-03-28T09:26:13.281Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,175.38,2646695197,50,2805786057.0,273541132.0,186.61,174.58,-9.127490133221556,-4.94685,-137307374.3114071,-4.93201,15092784.089623269,16000000.0,16000000.0,661.69,-73.52017,2021-05-18T21:19:59.514Z,26.02,573.30219,2020-11-05T09:20:11.928Z,,2025-03-28T09:26:18.189Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,17.24,2609878804,51,2609878804.0,80826796.0,18.23,17.21,-0.9064856776835981,-4.99611,-133143802.1841712,-4.85391,151293179.9074661,151293179.9074661,210700000.0,167.09,-89.70086,2021-05-06T18:34:22.133Z,0.615038,2697.93498,2016-07-25T00:00:00.000Z,"{'times': 37.3052160859418, 'currency': 'usd', 'percentage': 3730.52160859418}",2025-03-28T09:26:22.706Z
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,0.999818,2455668424,52,2455668424.0,6253144992.0,1.003,0.995659,0.00109244,0.10938,-28627384.75615263,-1.15233,2457096090.846553,2457096090.846553,,1.15,-13.13693,2025-02-03T02:30:49.959Z,0.940377,6.34912,2024-12-05T22:30:51.394Z,,2025-03-28T09:26:10.651Z
